FileName,EggCount,Day,Repeat ,Condition,
well_1_2023-10-20_195116_.jpg,60,D1,1,WT,
well_2_2023-10-20_194554_.jpg,35,D1,1,WT,
well_3_2023-10-20_194600_.jpg,47,D1,1,WT,
well_4_2023-10-20_194605_.jpg,47,D1,1,WT,
well_5_2023-10-20_194611_.jpg,34,D1,1,WT,
well_6_manual.jpg,50,D1,1,WT,
well_7_2023-10-20_194622_.jpg,11,D1,1,WT,
well_8_2023-10-20_194628_.jpg,12,D1,1,WT,
well_9_2023-10-20_194634_.jpg,62,D1,1,WT,
well_10_2023-10-20_194639_.jpg,66,D1,1,WT,
well_11_2023-10-20_194645_.jpg,61,D1,1,WT,
well_12_2023-10-20_194650_.jpg,58,D1,1,WT,
well_13_2023-10-20_194656_.jpg,49,D1,1,WT,
well_14_2023-10-20_194701_.jpg,33,D1,1,WT,
well_15_2023-10-20_194707_.jpg,36,D1,1,WT,
well_16_2023-10-20_195239_.jpg,32,D1,1,WT,
well_17_2023-10-20_195245_.jpg,99,D1,1,WT,
well_18_2023-10-20_194723_.jpg,56,D1,1,WT,
well_19_2023-10-20_194729_.jpg,45,D1,1,WT,
well_20_2023-10-20_194734_.jpg,33,D1,1,WT,
well_21_2023-10-20_194740_.jpg,6,D1,1,WT,
well_22_2023-10-20_194746_.jpg,29,D1,1,WT,
well_23_2023-10-20_194751_.jpg,44,D1,1,WT,
well_24_2023-10-20_194757_.jpg,42,D1,1,WT,
well_2_2023-10-20_212010_.jpg,23,D3,1,WT,
well_3_2023-10-20_212015_.jpg,68,D3,1,WT,
well_4_2023-10-20_212021_.jpg,63,D3,1,WT,
well_5_2023-10-20_212026_.jpg,65,D3,1,WT,
well_6_2023-10-20_212032_.jpg,10,D3,1,WT,
well_7_2023-10-20_212037_.jpg,3,D3,1,WT,
well_8_2023-10-20_212043_.jpg,24,D3,1,WT,
well_9_2023-10-20_212049_.jpg,79,D3,1,WT,
well_10_2023-10-20_212054_.jpg,53,D3,1,WT,
well_11_2023-10-20_212100_.jpg,29,D3,1,WT,
well_12_2023-10-20_212105_.jpg,92,D3,1,WT,
well_13_2023-10-20_212111_.jpg,78,D3,1,WT,
well_14_2023-10-20_212116_.jpg,23,D3,1,WT,
well_15_2023-10-20_212122_.jpg,10,D3,1,WT,
well_16_2023-10-20_212127_.jpg,60,D3,1,WT,
well_17_2023-10-20_212133_.jpg,107,D3,1,WT,
well_18_2023-10-20_212139_.jpg,47,D3,1,WT,
well_19_2023-10-20_212144_.jpg,40,D3,1,WT,
well_20_2023-10-20_212150_.jpg,30,D3,1,WT,
well_21_2023-10-20_212155_.jpg,0,D3,1,WT,
well_22_2023-10-20_212201_.jpg,47,D3,1,WT,
well_23_2023-10-20_212206_.jpg,51,D3,1,WT,
well_24_2023-10-20_212212_.jpg,55,D3,1,WT,
well_25_2023-10-20_194802_.jpg,11,D1,1,DMSO,
well_26_2023-10-20_194808_.jpg,52,D1,1,DMSO,
well_27_2023-10-20_194813_.jpg,72,D1,1,DMSO,
well_28_2023-10-20_194819_.jpg,29,D1,1,DMSO,
well_29_2023-10-20_194824_.jpg,60,D1,1,DMSO,
well_30_2023-10-20_194830_.jpg,78,D1,1,DMSO,
well_31_2023-10-20_194836_.jpg,51,D1,1,DMSO,
well_32_2023-10-20_194841_.jpg,47,D1,1,DMSO,
well_33_2023-10-20_194847_.jpg,39,D1,1,DMSO,
well_34_2023-10-20_195419_.jpg,35,D1,1,DMSO,
well_35_2023-10-20_195424_.jpg,85,D1,1,DMSO,
well_36_2023-10-20_194903_.jpg,86,D1,1,DMSO,
well_37_2023-10-20_194909_.jpg,49,D1,1,DMSO,
well_38_2023-10-20_194915_.jpg,42,D1,1,DMSO,
well_39_2023-10-20_195447_.jpg,8,D1,1,DMSO,
well_41_2023-10-20_194931_.jpg,25,D1,1,DMSO,
well_42_2023-10-20_195504_.jpg,68,D1,1,DMSO,
well_43_2023-10-20_194942_.jpg,65,D1,1,DMSO,
well_44_2023-10-20_194948_.jpg,79,D1,1,DMSO,
well_45_2023-10-20_194953_.jpg,52,D1,1,DMSO,
well_46_2023-10-20_194959_.jpg,70,D1,1,DMSO,
well_47_2023-10-20_195532_.jpg,9,D1,1,DMSO,
well_48_2023-10-20_195010_.jpg,85,D1,1,DMSO,
well_25_2023-10-20_212217_.jpg,1,D3,1,DMSO,
well_26_2023-10-20_212223_.jpg,65,D3,1,DMSO,
well_27_2023-10-20_212229_.jpg,89,D3,1,DMSO,
well_28_2023-10-20_212234_.jpg,70,D3,1,DMSO,
well_29_2023-10-20_212240_.jpg,57,D3,1,DMSO,
well_30_2023-10-20_212245_.jpg,75,D3,1,DMSO,
well_31_2023-10-20_212251_.jpg,100,D3,1,DMSO,
well_32_2023-10-20_212256_.jpg,56,D3,1,DMSO,
well_33_2023-10-20_212302_.jpg,54,D3,1,DMSO,
well_34_2023-10-20_212307_.jpg,47,D3,1,DMSO,
well_35_2023-10-20_212313_.jpg,113,D3,1,DMSO,
well_36_2023-10-20_212318_.jpg,66,D3,1,DMSO,
well_37_2023-10-20_212324_.jpg,61,D3,1,DMSO,
well_38_2023-10-20_212330_.jpg,67,D3,1,DMSO,
well_39_2023-10-20_212335_.jpg,9,D3,1,DMSO,
well_40_2023-10-20_212341_.jpg,51,D3,1,DMSO,
well_41_2023-10-20_212346_.jpg,27,D3,1,DMSO,
well_42_2023-10-20_212352_.jpg,6,D3,1,DMSO,
well_43_2023-10-20_212357_.jpg,0,D3,1,DMSO,
well_44_2023-10-20_212403_.jpg,39,D3,1,DMSO,
well_45_2023-10-20_212409_.jpg,50,D3,1,DMSO,
well_46_2023-10-20_212414_.jpg,69,D3,1,DMSO,
well_47_2023-10-20_212420_.jpg,0,D3,1,DMSO,
well_2_2023-10-20_204535_.jpg,82,D1,1,Rap_0.1,
well_3_2023-10-20_204541_.jpg,49,D1,1,Rap_0.1,
well_4_2023-10-20_204546_.jpg,21,D1,1,Rap_0.1,
well_5_2023-10-20_204552_.jpg,82,D1,1,Rap_0.1,
well_6_2023-10-20_204557_.jpg,77,D1,1,Rap_0.1,
well_7_2023-10-20_204603_.jpg,58,D1,1,Rap_0.1,
well_8_2023-10-20_204608_.jpg,40,D1,1,Rap_0.1,
well_9_2023-10-20_204614_.jpg,65,D1,1,Rap_0.1,
well_10_2023-10-20_204620_.jpg,71,D1,1,Rap_0.1,
well_11_2023-10-20_204625_.jpg,67,D1,1,Rap_0.1,
well_12_2023-10-20_204631_.jpg,76,D1,1,Rap_0.1,
well_13_2023-10-20_204636_.jpg,61,D1,1,Rap_0.1,
well_14_2023-10-20_204642_.jpg,72,D1,1,Rap_0.1,
well_15_2023-10-20_204647_.jpg,26,D1,1,Rap_0.1,
well_16_2023-10-20_204653_.jpg,49,D1,1,Rap_0.1,
well_17_2023-10-20_204658_.jpg,65,D1,1,Rap_0.1,
well_18_2023-10-20_204704_.jpg,71,D1,1,Rap_0.1,
well_19_2023-10-20_204709_.jpg,28,D1,1,Rap_0.1,
well_20_2023-10-20_204715_.jpg,42,D1,1,Rap_0.1,
well_21_2023-10-20_204721_.jpg,52,D1,1,Rap_0.1,
well_22_2023-10-20_204726_.jpg,101,D1,1,Rap_0.1,
well_23_2023-10-20_204732_.jpg,1,D1,1,Rap_0.1,
well_24_2023-10-20_204737_.jpg,2,D1,1,Rap_0.1,
well_2_2023-10-20_213305_.jpg,61,D3,1,Rap_0.1,
well_3_2023-10-20_213311_.jpg,30,D3,1,Rap_0.1,
well_4_2023-10-20_213316_.jpg,33,D3,1,Rap_0.1,
well_5_2023-10-20_213322_.jpg,69,D3,1,Rap_0.1,
well_6_2023-10-20_213327_.jpg,56,D3,1,Rap_0.1,
well_7_2023-10-20_213333_.jpg,12,D3,1,Rap_0.1,
well_8_2023-10-20_213338_.jpg,28,D3,1,Rap_0.1,
well_9_2023-10-20_213344_.jpg,11,D3,1,Rap_0.1,
well_10_2023-10-20_213349_.jpg,6,D3,1,Rap_0.1,
well_11_2023-10-20_213355_.jpg,53,D3,1,Rap_0.1,
well_12_2023-10-20_213401_.jpg,14,D3,1,Rap_0.1,
well_13_2023-10-20_213406_.jpg,39,D3,1,Rap_0.1,
well_14_2023-10-20_213412_.jpg,10,D3,1,Rap_0.1,
well_15_2023-10-20_213417_.jpg,26,D3,1,Rap_0.1,
well_16_2023-10-20_213423_.jpg,17,D3,1,Rap_0.1,
well_17_2023-10-20_213428_.jpg,17,D3,1,Rap_0.1,
well_18_2023-10-20_213434_.jpg,6,D3,1,Rap_0.1,
well_19_2023-10-20_213439_.jpg,0,D3,1,Rap_0.1,
well_20_2023-10-20_213445_.jpg,1,D3,1,Rap_0.1,
well_21_2023-10-20_213451_.jpg,1,D3,1,Rap_0.1,
well_22_2023-10-20_213456_.jpg,4,D3,1,Rap_0.1,
well_23_2023-10-20_213502_.jpg,1,D3,1,Rap_0.1,
well_24_2023-10-20_213507_.jpg,15,D3,1,Rap_0.1,
well_25_2023-10-20_204743_.jpg,1,D1,1,Rap_25,
well_26_2023-10-20_204748_.jpg,0,D1,1,Rap_25,
well_27_2023-10-20_204754_.jpg,45,D1,1,Rap_25,
well_28_2023-10-20_204759_.jpg,29,D1,1,Rap_25,
well_29_2023-10-20_204805_.jpg,3,D1,1,Rap_25,
well_30_2023-10-20_204810_.jpg,3,D1,1,Rap_25,
well_31_2023-10-20_204816_.jpg,37,D1,1,Rap_25,
well_32_2023-10-20_204821_.jpg,74,D1,1,Rap_25,
well_33_2023-10-20_204827_.jpg,49,D1,1,Rap_25,
well_34_2023-10-20_204832_.jpg,2,D1,1,Rap_25,
well_35_2023-10-20_204838_.jpg,3,D1,1,Rap_25,
well_36_2023-10-20_204843_.jpg,50,D1,1,Rap_25,
well_37_2023-10-20_204849_.jpg,19,D1,1,Rap_25,
well_38_2023-10-20_204855_.jpg,67,D1,1,Rap_25,
well_39_2023-10-20_204900_.jpg,41,D1,1,Rap_25,
well_40_2023-10-20_204906_.jpg,32,D1,1,Rap_25,
well_41_2023-10-20_204911_.jpg,57,D1,1,Rap_25,
well_42_2023-10-20_204917_.jpg,73,D1,1,Rap_25,
