FileName,EggCount,Day,Repeat ,Condition
well_22_2023-12-13_143410_.jpg,32,D7,2,WT
well_23_2023-12-13_143415_.jpg,30,D7,2,WT
well_24_2023-12-13_143421_.jpg,20,D7,2,WT
well_1_2023-12-15_154725_.jpg,0,D1,3,WT
well_2_2023-12-15_154302_.jpg,12,D1,3,WT
well_3_2023-12-15_154308_.jpg,0,D1,3,WT
well_4_2023-12-15_154313_.jpg,8,D1,3,WT
well_5_2023-12-15_154319_.jpg,6,D1,3,WT
well_6_2023-12-15_154324_.jpg,1,D1,3,WT
well_7_2023-12-15_154330_.jpg,11,D1,3,WT
well_8_2023-12-15_154336_.jpg,0,D1,3,WT
well_9_2023-12-15_154341_.jpg,0,D1,3,WT
well_10_2023-12-15_154347_.jpg,0,D1,3,WT
well_11_2023-12-15_154820_.jpg,0,D1,3,WT
well_12_2023-12-15_154358_.jpg,1,D1,3,WT
well_13_2023-12-15_154403_.jpg,9,D1,3,WT
well_14_2023-12-15_154409_.jpg,2,D1,3,WT
well_15_2023-12-15_154415_.jpg,0,D1,3,WT
well_16_2023-12-15_154420_.jpg,0,D1,3,WT
well_1_2023-12-15_155301_.jpg,3,D1,4,WT
well_2_2023-12-15_155307_.jpg,39,D1,4,WT
well_3_2023-12-15_155312_.jpg,17,D1,4,WT
well_4_2023-12-15_155318_.jpg,11,D1,4,WT
well_5_2023-12-15_155323_.jpg,41,D1,4,WT
well_6_2023-12-15_155329_.jpg,9,D1,4,WT
well_7_2023-12-15_155334_.jpg,70,D1,4,WT
well_8_2023-12-15_155340_.jpg,1,D1,4,WT
well_9_2023-12-15_155345_.jpg,53,D1,4,WT
well_10_2023-12-15_155351_.jpg,31,D1,4,WT
well_11_2023-12-15_155357_.jpg,51,D1,4,WT
well_12_2023-12-15_155402_.jpg,39,D1,4,WT
well_13_2023-12-15_155408_.jpg,46,D1,4,WT
well_14_2023-12-15_155413_.jpg,26,D1,4,WT
well_15_2023-12-15_155419_.jpg,33,D1,4,WT
well_16_2023-12-15_155424_.jpg,41,D1,4,WT
well_1_2023-12-20_141721_.jpg,21,D3,4,WT
well_2_2023-12-20_141726_.jpg,70,D3,4,WT
well_3_2023-12-20_141732_.jpg,14,D3,4,WT
well_4_2023-12-20_141737_.jpg,77,D3,4,WT
well_5_2023-12-20_141743_.jpg,8,D3,4,WT
well_6_2023-12-20_141749_.jpg,28,D3,4,WT
well_7_2023-12-20_141754_.jpg,51,D3,4,WT
well_8_2023-12-20_141800_.jpg,16,D3,4,WT
well_9_2023-12-20_141805_.jpg,1,D3,4,WT
well_10_2023-12-20_141811_.jpg,24,D3,4,WT
well_11_2023-12-20_141816_.jpg,70,D3,4,WT
well_12_2023-12-20_141822_.jpg,100,D3,4,WT
well_13_2023-12-20_141828_.jpg,63,D3,4,WT
well_14_2023-12-20_141833_.jpg,70,D3,4,WT
well_15_2023-12-20_141839_.jpg,49,D3,4,WT
well_16_2023-12-20_141844_.jpg,32,D3,4,WT
well_1_2023-12-20_172416_.jpg,5,D7,4,WT
well_2_2023-12-20_171854_.jpg,27,D7,4,WT
well_3_2023-12-20_171859_.jpg,8,D7,4,WT
well_4_2023-12-20_171905_.jpg,20,D7,4,WT
well_5_2023-12-20_171911_.jpg,0,D7,4,WT
well_6_2023-12-20_171916_.jpg,8,D7,4,WT
well_7_2023-12-20_171922_.jpg,32,D7,4,WT
well_8_2023-12-20_171927_.jpg,12,D7,4,WT
well_9_2023-12-20_171933_.jpg,0,D7,4,WT
well_10_2023-12-20_171939_.jpg,0,D7,4,WT
well_11_2023-12-20_171944_.jpg,31,D7,4,WT
well_12_2023-12-20_171950_.jpg,6,D7,4,WT
well_13_2023-12-20_171956_.jpg,11,D7,4,WT
well_14_2023-12-20_172001_.jpg,50,D7,4,WT
well_15_2023-12-20_172007_.jpg,15,D7,4,WT
well_16_2023-12-20_172012_.jpg,7,D7,4,WT
well_2_2024-02-20_104020_.jpg,42,D1,6,WT
well_3_2024-02-20_104026_.jpg,19,D1,6,WT
well_4_2024-02-20_104031_.jpg,18,D1,6,WT
well_5_2024-02-20_104037_.jpg,24,D1,6,WT
well_6_2024-02-20_104042_.jpg,50,D1,6,WT
well_7_2024-02-20_104048_.jpg,6,D1,6,WT
well_8_2024-02-20_104054_.jpg,24,D1,6,WT
well_9_2024-02-20_104059_.jpg,60,D1,6,WT
well_10_2024-02-20_104105_.jpg,22,D1,6,WT
well_11_2024-02-20_104111_.jpg,54,D1,6,WT
well_12_2024-02-20_104116_.jpg,57,D1,6,WT
well_13_2024-02-20_104122_.jpg,29,D1,6,WT
well_14_2024-02-20_104128_.jpg,33,D1,6,WT
well_15_2024-02-20_104133_.jpg,40,D1,6,WT
well_16_2024-02-20_104139_.jpg,36,D1,6,WT
well_2_2024-02-20_105013_.jpg,41,D3,6,WT
well_3_2024-02-20_105019_.jpg,12,D3,6,WT
well_4_2024-02-20_105025_.jpg,39,D3,6,WT
well_5_2024-02-20_105030_.jpg,19,D3,6,WT
well_6_2024-02-20_105036_.jpg,43,D3,6,WT
well_7_2024-02-20_105042_.jpg,6,D3,6,WT
well_8_2024-02-20_105047_.jpg,19,D3,6,WT
well_9_2024-02-20_105053_.jpg,37,D3,6,WT
well_10_2024-02-20_105058_.jpg,20,D3,6,WT
well_11_2024-02-20_105104_.jpg,53,D3,6,WT
well_12_2024-02-20_105110_.jpg,46,D3,6,WT
well_13_2024-02-20_105115_.jpg,21,D3,6,WT
well_14_2024-02-20_105121_.jpg,38,D3,6,WT
well_15_2024-02-20_105127_.jpg,56,D3,6,WT
well_16_2024-02-20_105133_.jpg,33,D3,6,WT
well_2_2024-02-20_102907_.jpg,22,D1,7,WT
well_3_2024-02-20_102913_.jpg,46,D1,7,WT
well_4_2024-02-20_102918_.jpg,23,D1,7,WT
well_5_2024-02-20_102924_.jpg,45,D1,7,WT
well_6_2024-02-20_102930_.jpg,72,D1,7,WT
well_7_2024-02-20_102935_.jpg,74,D1,7,WT
well_8_2024-02-20_102941_.jpg,71,D1,7,WT
well_9_2024-02-20_102946_.jpg,45,D1,7,WT
well_10_2024-02-20_102952_.jpg,49,D1,7,WT
well_11_2024-02-20_102958_.jpg,57,D1,7,WT
well_12_2024-02-20_103003_.jpg,35,D1,7,WT
well_13_2024-02-20_103009_.jpg,59,D1,7,WT
well_14_2024-02-20_103015_.jpg,89,D1,7,WT
well_15_2024-02-20_103020_.jpg,53,D1,7,WT
well_16_2024-02-20_103026_.jpg,32,D1,7,WT
well_2_2024-02-20_104450_.jpg,52,D3,7,WT
well_3_2024-02-20_104456_.jpg,74,D3,7,WT
well_4_2024-02-20_104501_.jpg,33,D3,7,WT
well_5_2024-02-20_104507_.jpg,55,D3,7,WT
well_6_2024-02-20_104512_.jpg,75,D3,7,WT
well_7_2024-02-20_104518_.jpg,64,D3,7,WT
well_8_2024-02-20_104523_.jpg,87,D3,7,WT
well_9_2024-02-20_104529_.jpg,36,D3,7,WT
well_10_2024-02-20_104534_.jpg,92,D3,7,WT
well_11_2024-02-20_104540_.jpg,106,D3,7,WT
well_12_2024-02-20_104545_.jpg,52,D3,7,WT
well_13_2024-02-20_104551_.jpg,58,D3,7,WT
well_14_2024-02-20_104556_.jpg,70,D3,7,WT
well_15_2024-02-20_104602_.jpg,59,D3,7,WT
well_16_2024-02-20_104608_.jpg,68,D3,7,WT
well_1_2024-02-20_112933_.jpg,24,D7,7,WT
well_2_2024-02-20_112410_.jpg,9,D7,7,WT
well_3_2024-02-20_112415_.jpg,20,D7,7,WT
well_4_2024-02-20_112421_.jpg,9,D7,7,WT
well_5_2024-02-20_112427_.jpg,22,D7,7,WT
well_6_2024-02-20_112432_.jpg,21,D7,7,WT
well_7_2024-02-20_112438_.jpg,24,D7,7,WT
well_8_2024-02-20_112443_.jpg,38,D7,7,WT
well_9_2024-02-20_112449_.jpg,16,D7,7,WT
well_10_2024-02-20_112455_.jpg,27,D7,7,WT
well_11_2024-02-20_112500_.jpg,34,D7,7,WT
well_12_2024-02-20_112506_.jpg,1,D7,7,WT
well_13_2024-02-20_112511_.jpg,60,D7,7,WT
well_14_2024-02-20_112517_.jpg,29,D7,7,WT
well_15_2024-02-20_112522_.jpg,12,D7,7,WT
well_16_2024-02-20_112528_.jpg,49,D7,7,WT
well_2_2024-02-20_123943_.jpg,48,D1,8,WT
well_3_2024-02-20_123948_.jpg,44,D1,8,WT
well_4_2024-02-20_123954_.jpg,31,D1,8,WT
well_5_2024-02-20_123959_.jpg,116,D1,8,WT
well_6_2024-02-20_124005_.jpg,43,D1,8,WT
well_7_2024-02-20_124011_.jpg,48,D1,8,WT
well_8_2024-02-20_124017_.jpg,23,D1,8,WT
well_9_2024-02-20_124022_.jpg,55,D1,8,WT
well_10_2024-02-20_124028_.jpg,38,D1,8,WT
well_11_2024-02-20_124034_.jpg,62,D1,8,WT
well_12_2024-02-20_124039_.jpg,52,D1,8,WT
well_13_2024-02-20_124045_.jpg,27,D1,8,WT
well_14_2024-02-20_124051_.jpg,58,D1,8,WT
well_15_2024-02-20_124056_.jpg,8,D1,8,WT
well_16_2024-02-20_124102_.jpg,43,D1,8,WT
well_17_2024-02-20_124108_.jpg,44,D1,8,WT
well_18_2024-02-20_124113_.jpg,51,D1,8,WT
well_19_2024-02-20_124119_.jpg,62,D1,8,WT
well_20_2024-02-20_124125_.jpg,58,D1,8,WT
well_21_2024-02-20_124130_.jpg,21,D1,8,WT
well_22_2024-02-20_124136_.jpg,66,D1,8,WT
well_23_2024-02-20_124141_.jpg,73,D1,8,WT
well_24_2024-02-20_124147_.jpg,26,D1,8,WT
well_1_2024-02-20_124623_.jpg,24,D3,8,WT
well_2_2024-02-20_124629_.jpg,43,D3,8,WT
well_3_2024-02-20_124635_.jpg,19,D3,8,WT
well_4_2024-02-20_124640_.jpg,20,D3,8,WT
well_5_2024-02-20_124646_.jpg,15,D3,8,WT
well_6_2024-02-20_124652_.jpg,8,D3,8,WT
well_7_2024-02-20_124657_.jpg,11,D3,8,WT
well_8_2024-02-20_124703_.jpg,24,D3,8,WT
well_9_2024-02-20_124708_.jpg,30,D3,8,WT
well_10_2024-02-20_124714_.jpg,38,D3,8,WT
well_11_2024-02-20_124720_.jpg,72,D3,8,WT
well_12_2024-02-20_124725_.jpg,38,D3,8,WT
well_13_2024-02-20_124731_.jpg,21,D3,8,WT
well_14_2024-02-20_124736_.jpg,30,D3,8,WT
well_15_2024-02-20_124742_.jpg,46,D3,8,WT
well_16_2024-02-20_124748_.jpg,17,D3,8,WT
well_17_2024-02-20_124753_.jpg,51,D3,8,WT
well_18_2024-02-20_124759_.jpg,64,D3,8,WT
well_19_2024-02-20_124804_.jpg,42,D3,8,WT
well_20_2024-02-20_124810_.jpg,26,D3,8,WT
well_21_2024-02-20_124816_.jpg,52,D3,8,WT
well_22_2024-02-20_124821_.jpg,35,D3,8,WT
well_23_2024-02-20_124827_.jpg,15,D3,8,WT
well_24_2024-02-20_124832_.jpg,46,D3,8,WT
well_2_2024-02-20_131922_.jpg,5,D7,8,WT
well_3_2024-02-20_131928_.jpg,25,D7,8,WT
well_4_2024-02-20_131933_.jpg,20,D7,8,WT
well_5_2024-02-20_131939_.jpg,26,D7,8,WT
well_6_2024-02-20_131944_.jpg,26,D7,8,WT
well_7_2024-02-20_131950_.jpg,19,D7,8,WT
well_8_2024-02-20_131955_.jpg,5,D7,8,WT
well_9_2024-02-20_132001_.jpg,0,D7,8,WT
well_10_2024-02-20_132006_.jpg,14,D7,8,WT
well_11_2024-02-20_132012_.jpg,4,D7,8,WT
well_12_2024-02-20_132018_.jpg,4,D7,8,WT
well_13_2024-02-20_132023_.jpg,18,D7,8,WT
well_14_2024-02-20_132029_.jpg,26,D7,8,WT
well_15_2024-02-20_132034_.jpg,0,D7,8,WT
well_16_2024-02-20_132040_.jpg,32,D7,8,WT
well_17_2024-02-20_132045_.jpg,8,D7,8,WT
well_18_2024-02-20_132051_.jpg,20,D7,8,WT
well_19_2024-02-20_132057_.jpg,15,D7,8,WT
well_20_2024-02-20_132102_.jpg,11,D7,8,WT
well_21_2024-02-20_132108_.jpg,7,D7,8,WT
well_22_2024-02-20_132113_.jpg,25,D7,8,WT
well_23_2024-02-20_132119_.jpg,10,D7,8,WT
