Condition,Repeat,Day ,EggCounts,FileName
WT,3,D1,94,well_22_2023-11-09_170014_.jpg
WT,3,D1,62,well_23_2023-11-09_170019_.jpg
WT,3,D1,84,well_24_2023-11-09_170025_.jpg
WT,3,D3,0,well_1_2023-12-15_154725_.jpg
WT,3,D3,12,well_2_2023-12-15_154302_.jpg
WT,3,D3,0,well_3_2023-12-15_154308_.jpg
WT,3,D3,8,well_4_2023-12-15_154313_.jpg
WT,3,D3,6,well_5_2023-12-15_154319_.jpg
WT,3,D3,1,well_6_2023-12-15_154324_.jpg
WT,3,D3,11,well_7_2023-12-15_154330_.jpg
WT,3,D3,0,well_8_2023-12-15_154336_.jpg
WT,3,D3,0,well_9_2023-12-15_154341_.jpg
WT,3,D3,0,well_10_2023-12-15_154347_.jpg
WT,3,D3,0,well_11_2023-12-15_154820_.jpg
WT,3,D3,1,well_12_2023-12-15_154358_.jpg
WT,3,D3,9,well_13_2023-12-15_154403_.jpg
WT,3,D3,2,well_14_2023-12-15_154409_.jpg
WT,3,D3,0,well_15_2023-12-15_154415_.jpg
WT,3,D3,0,well_16_2023-12-15_154420_.jpg
WT,3,D3,0,well_17_2023-12-15_154426_.jpg
WT,3,D3,3,well_18_2023-12-15_154431_.jpg
WT,3,D3,0,well_19_2023-12-15_154437_.jpg
WT,3,D3,11,well_20_2023-12-15_154443_.jpg
WT,3,D3,3,well_21_2023-12-15_154448_.jpg
WT,3,D3,2,well_22_2023-12-15_154454_.jpg
WT,3,D3,1,well_23_2023-12-15_154459_.jpg
WT,3,D3,0,well_24_2023-12-15_154505_.jpg
WT,4,D1,3,well_1_2023-12-15_155301_.jpg
WT,4,D1,39,well_2_2023-12-15_155307_.jpg
WT,4,D1,17,well_3_2023-12-15_155312_.jpg
WT,4,D1,11,well_4_2023-12-15_155318_.jpg
WT,4,D1,41,well_5_2023-12-15_155323_.jpg
WT,4,D1,9,well_6_2023-12-15_155329_.jpg
WT,4,D1,70,well_7_2023-12-15_155334_.jpg
WT,4,D1,1,well_8_2023-12-15_155340_.jpg
WT,4,D1,53,well_9_2023-12-15_155345_.jpg
WT,4,D1,31,well_10_2023-12-15_155351_.jpg
WT,4,D1,51,well_11_2023-12-15_155357_.jpg
WT,4,D1,39,well_12_2023-12-15_155402_.jpg
WT,4,D1,46,well_13_2023-12-15_155408_.jpg
WT,4,D1,26,well_14_2023-12-15_155413_.jpg
WT,4,D1,33,well_15_2023-12-15_155419_.jpg
WT,4,D1,41,well_16_2023-12-15_155424_.jpg
WT,4,D3,21,well_1_2023-12-20_141721_.jpg
WT,4,D3,70,well_2_2023-12-20_141726_.jpg
WT,4,D3,14,well_3_2023-12-20_141732_.jpg
WT,4,D3,77,well_4_2023-12-20_141737_.jpg
WT,4,D3,8,well_5_2023-12-20_141743_.jpg
WT,4,D3,28,well_6_2023-12-20_141749_.jpg
