Condition,Repeat,Day,EggCount,FileName,
CantonS,1,D7,13,well_5_2024-02-21_000008_.jpg,
CantonS,1,D7,6,well_6_2024-02-21_000014_.jpg,
CantonS,1,D7,55,well_7_2024-02-21_000020_.jpg,
CantonS,1,D7,10,well_8_2024-02-21_000026_.jpg,
CantonS,1,D7,45,well_9_2024-02-21_000031_.jpg,
CantonS,1,D7,42,well_10_2024-02-21_000037_.jpg,
CantonS,1,D7,53,well_11_2024-02-21_000043_.jpg,
CantonS,1,D7,26,well_12_2024-02-21_000049_.jpg,
CantonS,1,D7,6,well_13_2024-02-21_000054_.jpg,
CantonS,1,D7,26,well_14_2024-02-21_000100_.jpg,
CantonS,1,D7,9,well_15_2024-02-21_000106_.jpg,
CantonS,1,D7,30,well_16_2024-02-21_000112_.jpg,
CantonS,1,D7,34,well_17_2024-02-21_000117_.jpg,
CantonS,1,D7,18,well_18_2024-02-21_000123_.jpg,
CantonS,1,D7,10,well_19_2024-02-21_000129_.jpg,
CantonS,1,D7,15,well_20_2024-02-21_000135_.jpg,
CantonS,1,D7,25,well_21_2024-02-21_000140_.jpg,
CantonS,1,D7,18,well_22_2024-02-21_000146_.jpg,
CantonS,1,D7,0,well_23_2024-02-21_000152_.jpg,
CantonS,1,D7,0,well_24_2024-02-21_000158_.jpg,
CantonS,1,D7,0,well_25_2024-02-21_000203_.jpg,
CantonS,1,D7,0,well_26_2024-02-21_000209_.jpg,
CantonS,1,D7,0,well_27_2024-02-21_000215_.jpg,
CantonS,1,D7,0,well_28_2024-02-21_000220_.jpg,
CantonS,1,D7,0,well_29_2024-02-21_000226_.jpg,
CantonS,1,D7,0,well_30_2024-02-21_000232_.jpg,
CantonS,1,D7,0,well_31_2024-02-21_000238_.jpg,
CantonS,1,D7,0,well_32_2024-02-21_000244_.jpg,
CantonS,1,D7,0,well_33_2024-02-21_000249_.jpg,
CantonS,1,D7,0,well_34_2024-02-21_000255_.jpg,
CantonS,1,D7,0,well_35_2024-02-21_000301_.jpg,
CantonS,1,D7,0,well_36_2024-02-21_000307_.jpg,
CantonS,1,D7,0,well_37_2024-02-21_000313_.jpg,
CantonS,1,D7,0,well_38_2024-02-21_000318_.jpg,
CantonS,1,D7,0,well_39_2024-02-21_000324_.jpg,
CantonS,1,D7,0,well_40_2024-02-21_000330_.jpg,
CantonS,1,D7,2,well_41_2024-02-21_000336_.jpg,
CantonS,1,D7,0,well_42_2024-02-21_000341_.jpg,
CantonS,1,D7,0,well_43_2024-02-21_000347_.jpg,
CantonS,1,D7,0,well_44_2024-02-21_000353_.jpg,
CantonS,1,D7,0,well_45_2024-02-21_000359_.jpg,
CantonS,1,D7,0,well_46_2024-02-21_000404_.jpg,
CantonS,1,D7,0,well_47_2024-02-21_000410_.jpg,
